wgt,liq,fin,asset
5986.73089096396,6257.348484848485,31120.98484848485,221120.606060606
5877.251408632709,6257.348484848485,31120.98484848485,221120.606060606
5894.418095848246,6257.348484848485,31120.98484848485,221120.606060606
5919.079738118483,6257.348484848485,31120.98484848485,221120.606060606
5885.968580215742,6257.348484848485,31120.98484848485,221120.606060606
3.407974808330879,9230625,115752659.0909091,205346286.3636364
3.431400096360844,8731280.303030303,55564011.36363637,114944176.5151515
3.60079908884621,8940549.242424242,71978155.3030303,123470331.8181818
2.980174039579102,8975772.727272727,63027246.21212121,120627589.3939394
3.653001741293683,19516918.56060606,220442035.9848485,285399943.5606061
8594.284690478171,8080.681818181818,51343.40909090909,319041.8939393939
8437.120813220701,8080.681818181818,50763.25757575758,318461.7424242424
8461.764546137678,8080.681818181818,65059.84848484849,332758.3333333333
8497.167703297293,8080.681818181818,90959.4696969697,358657.9545454545
8449.63479717034,8080.681818181818,52628.0303030303,320326.5151515151
8214.061890984342,9323.863636363636,73762.12121212122,384764.7727272727
8191.495523817156,9323.863636363636,73762.12121212122,384764.7727272727
8153.062279555539,9323.863636363636,73762.12121212122,384764.7727272727
8136.053995831966,9323.863636363636,73762.12121212122,384764.7727272727
8098.205753571926,9323.863636363636,73762.12121212122,384764.7727272727
5313.560264446994,6423.106060606061,312660.2272727273,590925.7575757576
5367.71761899895,6423.106060606061,311209.8484848485,589475.3787878788
5801.612510183162,6423.106060606061,317632.9545454545,595898.4848484849
5510.449377192396,6423.106060606061,311417.0454545455,589682.5757575758
5491.652134039008,6423.106060606061,316804.1666666667,595069.696969697
4872.654925540892,121624.6212121212,645832.9545454546,833076.8560606061
4922.410611156533,121624.6212121212,645832.9545454546,833076.8560606061
5315.201164301636,121624.6212121212,645832.9545454546,833076.8560606061
5052.758680104689,121624.6212121212,645832.9545454546,833076.8560606061
5036.141219775372,121624.6212121212,645832.9545454546,833076.8560606061
10767.22552809472,0,0,108778.4090909091
10701.11748577175,0,0,239312.5
10827.78604972929,0,0,193729.1666666667
10924.23350123457,0,0,123282.196969697
10734.94662744297,0,0,212376.893939394
7272.490389232893,38331.43939393939,63195.07575757576,107638.8257575758
7276.333981207099,38331.43939393939,63195.07575757576,107638.8257575758
7248.680140664733,38331.43939393939,63195.07575757576,107638.8257575758
7290.967513859035,38331.43939393939,63195.07575757576,107638.8257575758
7271.448136055549,38331.43939393939,63195.07575757576,107638.8257575758
9212.480571282524,9945.454545454546,30706.59090909091,191491.4393939394
9142.927875175823,9945.454545454546,31079.54545454546,191864.393939394
9058.044860355418,9945.454545454546,27971.59090909091,188756.4393939394
9132.35159086623,9945.454545454546,32115.5303030303,192900.3787878788
